ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,trading_reference_price,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,trading_reference_date,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,md_security_trading_status,main_fraction,price_display_format,settl_price_type,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,symbol
2025-11-13 00:00:00+00:00,2025-11-09 12:01:37.194000+00:00,19,1,42467046,ESM7 C7100,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,591.25,50.0,0.0,,270339,42140856,42467046,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,7100.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C7100
2025-11-13 00:00:00+00:00,2025-11-11 08:45:45.532309659+00:00,19,1,2541982,UD:1V: 13 2541982,A,T,0.0,0.01,2025-11-11 22:00:00+00:00,2025-11-11 08:45:45+00:00,,,,,,,,287747,0,2541982,0,3,54,3000,10000,0,0,1,2147483647,2147483647,2147483647,65535,323,2025,65535,12,USD,,13,1V,XCME,ES,OMXFPS,OOF,IPNT,,,,F,255,255,255,128,255,255,12,255,255,Y,127,127,15,UD:1V: 13 2541982
2025-11-13 00:00:00+00:00,2025-11-09 12:01:41.144000+00:00,19,1,42467057,ESM7 C8200,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,157.0,50.0,0.0,,270339,42140856,42467057,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,8200.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C8200
2025-11-13 00:00:00+00:00,2025-11-09 12:01:42.394000+00:00,19,1,42466933,ESM7 C5600,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,1651.5,50.0,0.0,,270339,42140856,42466933,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,5600.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C5600
2025-11-13 00:00:00+00:00,2025-11-09 12:01:44.294000+00:00,19,1,42466945,ESM7 C5400,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,1815.75,50.0,0.0,,270339,42140856,42466945,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,5400.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C5400
2025-11-13 00:00:00+00:00,2025-11-09 12:01:44.094000+00:00,19,1,42466946,ESM7 C5850,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,1452.5,50.0,0.0,,270339,42140856,42466946,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,5850.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C5850
2025-11-13 00:00:00+00:00,2025-11-09 12:01:43.344000+00:00,19,1,42598014,ESZ6 P4050,A,P,,0.01,2026-12-18 14:30:00+00:00,2021-09-17 20:25:00+00:00,,0.05,,50.0,50.0,0.0,,270339,10252,42598014,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2026,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESZ6,USD,4050.0,F,255,255,255,3,255,5,12,255,255,N,127,127,15,ESZ6 P4050
2025-11-13 00:00:00+00:00,2025-11-09 12:01:42.344000+00:00,19,1,42466952,ESM7 C3600,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,3466.0,50.0,0.0,,270339,42140856,42466952,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,3600.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C3600
2025-11-13 00:00:00+00:00,2025-11-09 12:01:40.044000+00:00,19,1,327622,ESZ6 C4700,A,C,,0.01,2026-12-18 14:30:00+00:00,2021-09-17 20:25:00+00:00,,0.05,,2299.75,50.0,0.0,,270339,10252,327622,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2026,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESZ6,USD,4700.0,F,255,255,255,3,255,5,12,255,255,N,127,127,15,ESZ6 C4700
2025-11-13 00:00:00+00:00,2025-11-09 12:01:42.044000+00:00,19,1,42466961,ESM7 P4450,A,P,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,99.5,50.0,0.0,,270339,42140856,42466961,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESM7,USD,4450.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 P4450
