ts_recv,ts_event,rtype,publisher_id,instrument_id,ts_ref,price,quantity,sequence,ts_in_delta,stat_type,channel_id,update_action,stat_flags,symbol
2025-11-13T00:03:48.286677659Z,2025-11-13T00:03:48.286529283Z,24,1,10252,,7044.500000000,9223372036854775807,38523347,12870,8,0,1,0,ESZ6
2025-11-13T00:08:01.402173814Z,2025-11-13T00:08:01.402011931Z,24,1,42140870,,7000.250000000,9223372036854775807,38535048,13021,8,0,1,0,ESU6
2025-11-13T00:08:28.075301256Z,2025-11-13T00:08:28.074995839Z,24,1,42007065,,61.200000000,9223372036854775807,38537502,12704,8,0,1,0,ESZ5-ESH6
2025-11-13T00:08:28.075435733Z,2025-11-13T00:08:28.075328119Z,24,1,42006622,,115.400000000,9223372036854775807,38537507,11732,8,0,1,0,ESZ5-ESM6
2025-11-13T00:09:37.631004940Z,2025-11-13T00:09:37.630856475Z,24,1,42007065,,61.250000000,9223372036854775807,38544218,13034,8,0,1,0,ESZ5-ESH6
2025-11-13T00:09:37.631126447Z,2025-11-13T00:09:37.631023123Z,24,1,42006622,,115.500000000,9223372036854775807,38544219,12933,8,0,1,0,ESZ5-ESM6
2025-11-13T00:09:37.631133742Z,2025-11-13T00:09:37.631024141Z,24,1,42018017,,54.250000000,9223372036854775807,38544220,11508,8,0,1,0,ESH6-ESM6
2025-11-13T00:09:46.134975960Z,2025-11-13T00:09:46.134535015Z,24,1,42007065,,61.250000000,9223372036854775807,38545437,11472,5,0,1,0,ESZ5-ESH6
2025-11-13T00:10:00.001197609Z,2025-11-13T00:10:00.000101731Z,24,1,42007065,,61.350000000,9223372036854775807,38547249,11543,5,0,1,0,ESZ5-ESH6
2025-11-13T00:10:22.087266293Z,2025-11-13T00:10:22.087144295Z,24,1,10252,,7050.750000000,9223372036854775807,38549218,11539,8,0,1,0,ESZ6
2025-11-13T00:10:22.194541306Z,2025-11-13T00:10:22.194276211Z,24,1,42140878,,6930.000000000,9223372036854775807,38549244,12509,5,0,1,0,ESH6
2025-11-13T00:10:24.874153666Z,2025-11-13T00:10:24.874047251Z,24,1,42140870,,7006.500000000,9223372036854775807,38549496,12648,8,0,1,0,ESU6
2025-11-13T00:33:59.000634197Z,2025-11-13T00:33:59.000030613Z,24,1,42007065,,61.450000000,9223372036854775807,38634611,11997,5,0,1,0,ESZ5-ESH6
2025-11-13T00:41:51.057363475Z,2025-11-13T00:41:51.057187749Z,24,1,42007065,,61.300000000,9223372036854775807,38659818,13100,8,0,1,0,ESZ5-ESH6
2025-11-13T00:41:51.057484858Z,2025-11-13T00:41:51.057383943Z,24,1,42006622,,115.600000000,9223372036854775807,38659820,11784,8,0,1,0,ESZ5-ESM6
2025-11-13T00:41:51.057492753Z,2025-11-13T00:41:51.057384963Z,24,1,42018017,,54.300000000,9223372036854775807,38659821,11687,8,0,1,0,ESH6-ESM6
2025-11-13T00:59:59.001946278Z,2025-11-13T00:59:59.001626623Z,24,1,42007065,,61.450000000,9223372036854775807,38732697,12045,8,0,1,0,ESZ5-ESH6
